id,no,name,team,season,yr,pos,g,pa,ab,r,h,x2b,x3b,hr,rbi,bb,so,sb,cs,avg,obp,slg,hbp,sf,sh,tb,xbh,gdp,go,fo,go_fo
doedeji01,15,Jimmy  Doedens,CUW,2013,Fr,OF,29,76,62,11,14,0,1,0,5,9,13,4,0,0.226,0.324,0.258,0,0,5,16,1,3,29,7,4.14
doedeni01,16,Nick  Doedens,CUW,2010,So,,35,108,93,19,23,5,0,2,15,11,30,3,1,0.247,0.321,0.366,0,2,2,34,7,2,23,18,1.28
doedeni01,16,Nick  Doedens,CUW,2011,Jr,,32,64,57,6,11,1,0,0,3,3,15,4,1,0.193,0.258,0.211,2,0,2,12,1,0,12,21,0.57
doedeni01,4,Nick  Doedens,CUW,2012,Sr,OF,36,135,122,11,34,8,1,0,20,8,21,2,3,0.279,0.323,0.361,1,2,2,44,9,2,30,35,0.86
dolliaj01,28,AJ  Dollinger,LAK,2012,Fr,INF,6,9,9,0,1,0,0,0,0,0,3,0,0,0.111,0.111,0.111,0,0,0,1,0,0,2,3,0.67
dolliaj01,28,A.J.  Dollinger,LAK,2013,So,IF,24,94,82,10,19,5,0,0,7,7,19,0,0,0.232,0.309,0.293,3,2,0,24,5,1,24,20,1.2
dolliaj01,28,AJ  Dollinger,LAK,2014,Jr,3B,36,139,124,12,33,1,0,0,8,8,18,1,0,0.266,0.328,0.274,4,1,2,34,1,2,30,44,0.68
dolliaj01,28,A.J.  Dollinger,LAK,2015,Sr,3B,39,138,127,14,32,6,0,0,13,9,18,1,0,0.252,0.307,0.299,1,0,1,38,6,6,38,36,1.06
donegry01,11,Ryan  Donegan,CUW,2015,Fr,C,2,6,2,3,1,0,0,0,0,2,0,0,0,0.5,0.833,0.5,2,0,0,1,0,0,0,1,
dornga01,16,Garrett  Dorn,MAR,2011,Fr,,34,144,127,20,40,7,0,0,16,10,10,3,0,0.315,0.376,0.37,3,1,3,47,7,6,41,34,1.21
dornga01,16,Garrett  Dorn,MAR,2012,Jr,OF,38,160,143,21,47,4,0,0,16,5,9,5,2,0.329,0.376,0.357,7,2,3,51,4,7,50,40,1.25
dornga01,16,Garrett  Dorn,MAR,2013,Jr,OF,30,130,114,23,35,6,1,1,20,10,10,1,2,0.307,0.375,0.404,3,1,2,46,8,3,32,35,0.91
downbr01,39,Brett  Down,ROCK,2016,Fr,INF,8,9,8,0,0,0,0,0,0,1,2,0,0,0.0,0.111,0.0,0,0,0,0,0,0,2,3,0.67
downbr01,10,Brett  Down,ROCK,2017,So,INF,12,13,9,3,3,1,0,0,1,4,5,0,0,0.333,0.538,0.444,0,0,0,4,1,0,0,1,
doylety01,17,Tyler  Doyle,MSOE,2013,Fr,OF,18,87,77,22,27,3,1,0,7,9,15,13,0,0.351,0.414,0.416,0,1,0,32,4,2,13,17,0.76
